energyfamiliarity,currenthydrogen,currentgeothermal,currentsolar,currentcoal,currentnuclear,currenthydroelectric,currentoil,currentnaturalgas,stdevhydrogen,stdevgeothermal,stdevsolar,stdevcoal,stdevnuclear,stdevhydroelectric,stdevoil,stdevnaturalgas,avgstdevoff,avgoff,hydrogenoff,geothermaloff,solaroff,coaloff,nuclearoff,hydroelectricoff,oiloff,naturalgasoff,wanthydrogen,wantgeothermal,wantsolar,wantcoal,wantnuclear,wanthydroelectric,wantoil,wantnaturalgas,important,worry,personalimpact,futureimpact,age,race,gender,education,householdincome,state,zipcode,ideology,ideologystrength,party,sassy,difwanthydrogen,difwantgeothermal,difwantsolar,difwantcoal,difwantnuclear,difwanthydroelectric,difwantoil,difwantnaturalgas
More Than,0,0,0,50,0,0,10,40,-0.731140572,-0.766201047,-1.23937673,1.844097868,-1.138159859,-1.077979892,-0.864131157,1.457720605,1.139850966,9.175,0,-0.4,-2.7,24.1,-22.2,-6.2,9.5,8.3,0,0,50,0,0,50,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,28,White,Woman,Bachelor degree,"$25,000-$49,999",Indiana,47710,Liberal,Strongly,Independent,Alarmed,0,0,50,-50,0,50,-10,-40
About the Same,1,1,1,60,8,3,18,8,-0.563261795,-0.58485831,-1.104143538,2.487673647,-0.350387142,-0.740324138,-0.370301098,-0.874974347,0.884490502,12,1,0.6,-1.7,34.1,-14.2,-3.2,17.5,-23.7,5,15,25,0,20,15,10,10,Somewhat important,Somewhat Worried,A Moderate Amount,A Great Deal,68,White,Woman,Graduate or professional degree ,"$75,000-$99,999",Georgia,30054,Moderate,Moderately,Independent,Concerned,4,14,24,-60,12,12,-8,2
More Than,0,0,7,43,25,25,5,5,-0.731140572,-0.766201047,-0.292744384,1.393594822,1.323629883,1.735818064,-1.172774943,-1.093664499,1.063696027,9.325,0,-0.4,4.3,17.1,2.8,18.8,4.5,-26.7,0,15,40,0,35,5,0,5,Very Important,Very Worried,A Moderate Amount,A Great Deal,75,White,Man,,"$75,000-$99,999",North Carolina,27896,Liberal,Strongly,Democrat,Alarmed,0,15,33,-43,10,-20,-5,0
Less Than,0,0,0,,50,0,50,0,-0.731140572,-0.766201047,-1.23937673,-1.373781031,3.785419624,-1.077979892,1.605019135,-1.458148085,1.504633265,18.025,0,-0.4,-2.7,-25.9,27.8,-6.2,49.5,-31.7,20,10,10,10,10,10,10,20,Very Important,Somewhat Worried,A Moderate Amount,A Moderate Amount,26,White,Woman,Associates or technical degree,"Less than $25,000",Washington,99223,Conservative,Moderately,Republican,Concerned,20,10,10,10,-40,10,-40,20
About the Same,0,5,15,40,10,15,10,5,-0.731140572,0.140512636,0.789121155,1.200522088,-0.153443962,0.610298881,-0.864131157,-1.093664499,0.697854369,11.025,0,4.6,12.3,14.1,-12.2,8.8,9.5,-26.7,10,10,30,0,30,20,0,0,Somewhat important,Somewhat Worried,A Moderate Amount,A Great Deal,29,Asian or Asian American,Man,Graduate or professional degree ,"$50,000-$74,999",Ohio,44113,Liberal,Weakly,Democrat,Concerned,10,5,15,-40,20,5,-10,-5
Less Than,5,0,5,75,2,3,5,5,0.108253313,-0.766201047,-0.563210768,3.453037317,-0.94121668,-0.740324138,-1.172774943,-1.093664499,1.104835338,13.925,5,-0.4,2.3,49.1,-20.2,-3.2,4.5,-26.7,0,10,15,0,0,75,0,0,Somewhat important,Somewhat Worried,A Great Deal,A Great Deal,33,White,Man,High school diploma or GED,"Less than $25,000",South Carolina,29445,Moderate,Weakly,None,Concerned,-5,10,10,-75,-2,72,-5,-5
About the Same,2,5,8,5,35,5,30,10,-0.395383018,0.140512636,-0.157511191,-1.051993141,2.308345779,-0.515220301,0.370443989,-0.729180913,0.708573871,12.25,2,4.6,5.3,-20.9,12.8,-1.2,29.5,-21.7,20,0,60,0,0,20,0,0,Very Important,Somewhat Worried,Only a Little,A Great Deal,30,Asian or Asian American,Man,Graduate or professional degree ,"$150,000 or more",Washington,98109,Moderate,Moderately,Independent,Concerned,18,-5,52,-5,-35,15,-30,-10
More Than,5,10,5,15,20,10,25,10,0.108253313,1.047226318,-0.563210768,-0.408417361,0.831271934,0.04753929,0.061800203,-0.729180913,0.474612513,10,5,9.6,2.3,-10.9,-2.2,3.8,24.5,-21.7,10,10,10,5,30,10,15,10,Somewhat important,Somewhat Worried,Only a Little,A Moderate Amount,47,White,Man,Bachelor degree,"$100,000-$149,999",Pennsylvania,19026,Moderate,Moderately,Democrat,Cautious,5,0,5,-10,10,0,-10,0
About the Same,0,5,10,40,25,15,0,5,-0.731140572,0.140512636,0.112955193,1.200522088,1.323629883,0.610298881,-1.48141873,-1.093664499,0.83676781,8.1,0,4.6,7.3,14.1,2.8,8.8,-0.5,-26.7,25,25,25,0,25,0,0,0,Somewhat important,Somewhat Worried,Not at All,A Moderate Amount,53,White,Man,"Some college, but no degree","$75,000-$99,999",Ohio,44133,Conservative,Weakly,Republican,Cautious,25,20,15,-40,0,-15,0,-5
More Than,2,1,5,70,13,1,3,5,-0.395383018,-0.58485831,-0.563210768,3.131249427,0.141970807,-0.965427974,-1.296232458,-1.093664499,1.021499658,11.575,2,0.6,2.3,44.1,-9.2,-5.2,2.5,-26.7,20,5,25,5,10,10,5,20,Very Important,Somewhat Worried,A Moderate Amount,A Great Deal,58,White,Man,Bachelor degree,"$25,000-$49,999",Nevada,89122,Conservative,Moderately,Republican,Concerned,18,4,20,-65,-3,9,2,15
